ID 7.3.5.2 2.56.1.2 3.1.8.1 3.1.8.3 1.27.1.1 1.27.1.2 3.42.1.1 1.45.1.2 1.4.1.1 2.9.1.2 1.4.1.2 2.9.1.3 1.4.1.3 2.44.1.2 2.9.1.4 3.42.1.5 3.2.1.2 3.42.1.8 3.2.1.3 3.2.1.4 3.2.1.5 3.2.1.6 2.28.1.1 3.3.1.2 3.2.1.7 2.28.1.3 3.3.1.5 7.3.10.1 3.32.1.11 3.32.1.13 7.3.6.1 7.3.6.2 7.3.6.4 2.38.4.1 2.1.1.1 2.1.1.2 3.32.1.1 2.38.4.3 2.1.1.3 2.1.1.4 2.38.4.5 2.1.1.5 7.39.1.2 2.52.1.2 7.39.1.3 1.36.1.2 3.32.1.8 1.36.1.5 7.41.5.1 7.41.5.2 1.41.1.2 2.5.1.1 2.5.1.3 1.41.1.5
d3sdha_ 2 4 2 4 4 4 2 2 4 2 2 2 2 2 4 4 4 2 2 2 2 2 4 4 2 2 4 2 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 4 2 2 2
d1b0b__ 4 2 2 2 2 2 2 2 4 2 2 2 2 4 2 4 2 4 2 2 2 4 2 4 2 2 2 4 2 2 2 2 2 2 2 4 2 2 2 4 2 2 2 2 2 2 2 4 4 2 4 2 2 2
d2hbg__ 2 4 2 4 2 4 2 2 4 2 2 2 2 4 2 4 2 2 2 2 2 2 4 2 2 2 2 4 2 2 2 2 2 4 4 4 2 2 4 4 4 2 4 2 2 4 2 2 4 2 2 2 4 2
d1a6m__ 4 4 2 4 2 2 2 2 4 4 2 2 2 4 4 4 4 2 2 2 2 2 4 2 2 2 4 4 2 2 2 2 2 2 2 2 2 2 4 4 4 2 4 2 2 2 2 2 4 2 2 4 2 4
d1mba__ 2 2 4 4 2 2 2 2 2 2 2 2 4 4 2 2 2 2 2 2 2 2 4 2 4 2 2 4 2 2 4 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 4 4 2 4 2 2 4 4
d1eco__ 2 2 2 2 2 4 2 2 2 2 4 2 2 4 4 4 2 2 2 2 4 2 4 2 2 2 4 4 2 2 2 2 2 2 2 2 2 2 4 2 2 2 4 2 2 2 2 2 4 2 2 4 2 2
d2gdm__ 2 2 2 2 2 4 2 2 2 4 2 2 4 2 4 2 4 2 2 2 2 2 4 4 2 2 4 4 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 2 4 4 2 4 4 2 4 2 2 2
d1baba_ 2 2 2 4 2 2 2 2 2 4 2 4 2 4 2 4 4 4 2 2 2 2 4 4 2 2 4 4 2 2 4 4 2 2 4 2 2 2 2 4 2 4 2 2 2 4 2 4 2 2 2 4 2 4
d1cg5a_ 4 4 4 4 4 2 2 2 4 4 2 2 2 4 2 2 2 2 2 2 2 2 4 2 4 2 4 4 2 2 2 2 2 4 4 2 2 2 2 2 2 2 2 2 4 2 2 4 2 2 2 2 4 2
d1babb_ 4 2 2 2 2 2 2 2 4 4 2 2 4 4 2 4 2 2 2 2 2 2 4 2 2 4 2 4 2 2 4 4 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 2 4
d1cg5b_ 4 2 2 2 4 2 2 2 4 2 2 2 2 4 2 4 2 2 2 2 2 4 4 2 2 2 4 4 2 2 2 4 2 2 4 2 2 4 2 2 2 2 4 2 2 2 2 2 4 2 2 2 2 4
d2lhb__ 2 4 2 2 2 4 4 2 2 2 2 4 2 4 4 2 4 2 2 2 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 2 4 2 2 2 2 4 2 2 4 4 2 4 4 2 4
d1ash__ 4 4 2 2 2 2 2 4 2 2 2 2 2 4 2 4 2 4 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 4 2 4 4 2 4 4 2 2 2 4 2 2 2 2 2 4 2 2 2 2
d1itha_ 4 4 4 2 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 4 2 2 2 2 4 2 4 2 4 4 4 2 2 4 4 2 2 2 2 2 4 2 2 2 4 4 2 2 2 4 2
d1hlb__ 2 4 2 2 2 4 4 4 2 2 4 2 2 4 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 2 4 2 4 2 4 2 2 4 2 2 4 4 2 2 2 4 2
d1cqxa1 4 2 2 4 2 2 2 2 2 4 2 2 4 4 4 2 2 2 2 2 2 2 2 4 2 4 2 4 2 4 2 2 2 2 2 2 2 4 4 4 2 4 2 2 2 2 4 4 2 2 2 4 4 2
